Date,StationID,Lat,Long,Elevation,SD,SWE
2008-04-01,51K05S,59.86,-151.32,1653,50,15.6
2009-01-01,51K05S,59.86,-151.32,1653,19,4.1
2009-03-01,51K05S,59.86,-151.32,1653,28,7.0
2009-04-01,51K05S,59.86,-151.32,1653,32,8.6
2010-01-01,51K05S,59.86,-151.32,1653,28,8.4
2010-03-01,51K05S,59.86,-151.32,1653,35,11.1
2010-05-01,51K05S,59.86,-151.32,1653,42,15.5
2010-04-01,51K05S,59.86,-151.32,1653,48,14.4
2011-01-01,51K05S,59.86,-151.32,1653,18,4.9
2011-03-01,51K05S,59.86,-151.32,1653,36,8.9
2011-05-01,51K05S,59.86,-151.32,1653,25,8.9
2011-04-01,51K05S,59.86,-151.32,1653,34,9.0
2012-01-01,51K05S,59.86,-151.32,1653,37,9.1
2012-03-01,51K05S,59.86,-151.32,1653,64,15.6
2012-05-01,51K05S,59.86,-151.32,1653,35,12.6
2012-04-01,51K05S,59.86,-151.32,1653,54,16.3
2013-01-01,51K05S,59.86,-151.32,1653,39,7.4
2013-03-01,51K05S,59.86,-151.32,1653,47,13.6
2013-05-01,51K05S,59.86,-151.32,1653,45,16.5
2013-04-01,51K05S,59.86,-151.32,1653,47,15.2
2014-01-01,51K05S,59.86,-151.32,1653,11,3.0
2014-03-01,51K05S,59.86,-151.32,1653,15,6.2
2014-04-01,51K05S,59.86,-151.32,1653,27,8.6
2015-01-01,51K05S,59.86,-151.32,1653,12,4.0
2015-03-01,51K05S,59.86,-151.32,1653,13,5.7
2015-05-01,51K05S,59.86,-151.32,1653,14,5.5
2015-04-01,51K05S,59.86,-151.32,1653,15,5.3
2016-01-01,51K05S,59.86,-151.32,1653,29,7.2
2016-03-01,51K05S,59.86,-151.32,1653,59,16.4
2016-05-01,51K05S,59.86,-151.32,1653,20,7.3
2016-04-01,51K05S,59.86,-151.32,1653,42,15.8
2017-01-01,51K05S,59.86,-151.32,1653,20,4.7
2017-03-01,51K05S,59.86,-151.32,1653,37,9.0
2017-05-01,51K05S,59.86,-151.32,1653,13,4.2
2017-04-01,51K05S,59.86,-151.32,1653,35,9.1
2006-05-01,49M22S,61.11,-149.67,2080,33,10.8
2007-03-01,49M22S,61.11,-149.67,2080,32,9.4
2007-05-01,49M22S,61.11,-149.67,2080,16,6.9
2007-04-01,49M22S,61.11,-149.67,2080,36,10.2
2008-01-01,49M22S,61.11,-149.67,2080,24,5.8
2008-03-01,49M22S,61.11,-149.67,2080,37,9.0
2008-05-01,49M22S,61.11,-149.67,2080,39,13.2
2008-04-01,49M22S,61.11,-149.67,2080,39,10.4
2009-01-01,49M22S,61.11,-149.67,2080,29,5.9
2009-03-01,49M22S,61.11,-149.67,2080,37,8.3
2009-05-01,49M22S,61.11,-149.67,2080,20,6.4
2009-04-01,49M22S,61.11,-149.67,2080,43,10.2
2010-01-01,49M22S,61.11,-149.67,2080,23,5.7
2010-03-01,49M22S,61.11,-149.67,2080,36,8.1
2010-05-01,49M22S,61.11,-149.67,2080,33,11.6
2010-04-01,49M22S,61.11,-149.67,2080,38,11.0
2011-01-01,49M22S,61.11,-149.67,2080,22,4.3
2011-03-01,49M22S,61.11,-149.67,2080,29,6.7
2011-05-01,49M22S,61.11,-149.67,2080,16,5.9
2011-04-01,49M22S,61.11,-149.67,2080,26,7.2
2012-01-01,49M22S,61.11,-149.67,2080,45,11.1
2012-03-01,49M22S,61.11,-149.67,2080,64,18.2
2012-05-01,49M22S,61.11,-149.67,2080,38,17.1
2012-04-01,49M22S,61.11,-149.67,2080,57,20.0
2013-01-01,49M22S,61.11,-149.67,2080,12,2.6
2013-03-01,49M22S,61.11,-149.67,2080,29,7.6
2013-05-01,49M22S,61.11,-149.67,2080,33,11.1
2013-04-01,49M22S,61.11,-149.67,2080,36,9.8
2014-01-01,49M22S,61.11,-149.67,2080,17,3.1
2014-03-01,49M22S,61.11,-149.67,2080,15,3.7
2014-04-01,49M22S,61.11,-149.67,2080,23,5.8
2016-01-01,49M22S,61.11,-149.67,2080,17,3.4
2016-03-01,49M22S,61.11,-149.67,2080,23,5.9
2016-04-01,49M22S,61.11,-149.67,2080,19,6.2
2017-03-01,49M22S,61.11,-149.67,2080,30,7.6
2017-04-01,49M22S,61.11,-149.67,2080,36,8.8
2013-03-01,59M02,61.58,-159.58,80,24,5.4
2013-05-01,59M02,61.58,-159.58,80,14,4.7
2013-04-01,59M02,61.58,-159.58,80,20,6.2
2016-03-01,59M02,61.58,-159.58,80,11,2.9
2016-04-01,59M02,61.58,-159.58,80,13,3.6
2017-03-01,59M02,61.58,-159.58,80,14,3.5
2017-04-01,59M02,61.58,-159.58,80,14,3.6
1982-01-26,49M25,61.79,-149.2,2200,23,5.6
1982-02-25,49M25,61.79,-149.2,2200,14,5.6
1982-04-27,49M25,61.79,-149.2,2200,34,12.5
1982-03-30,49M25,61.79,-149.2,2200,29,9.9
1983-01-27,49M25,61.79,-149.2,2200,44,13.9
1983-02-28,49M25,61.79,-149.2,2200,45,14.1
1983-04-26,49M25,61.79,-149.2,2200,44,15.4
1983-03-29,49M25,61.79,-149.2,2200,44,15.0
1984-01-27,49M25,61.79,-149.2,2200,35,10.4
1984-02-28,49M25,61.79,-149.2,2200,42,11.7
1984-04-30,49M25,61.79,-149.2,2200,40,11.6
